날짜,삼성전자,SK하이닉스,NAVER,KODEX200,KODEX채권
2021-01-04,83000,126000,293000,36359,97518
2021-01-05,83900,130500,292500,36908,97652
2021-01-06,82200,131000,290000,36547,97596
2021-01-07,82900,134500,289500,37399,97576
2021-01-08,88800,138000,312000,39054,97539
2021-01-11,91000,133000,309000,39153,97628
2021-01-12,90600,129000,304000,38850,97547
2021-01-13,89700,133000,314000,39066,97594
2021-01-14,89700,130500,318000,39019,97552
2021-01-15,88000,127500,306000,38160,97619
2021-01-18,85000,130000,300500,37277,97660
2021-01-19,87000,130500,308000,38256,97660
2021-01-20,87200,130500,308000,38477,97623
2021-01-21,88100,131500,322500,39041,97680
2021-01-22,86800,128500,343500,38771,97584
2021-01-25,89400,135000,349000,39695,97543
2021-01-26,86700,129000,342000,38615,97547
2021-01-27,85600,128500,341500,38486,97579
2021-01-28,83700,123000,355000,37777,97623
2021-01-29,82000,122500,343000,36926,97655
2021-02-01,83000,125000,348000,37848,97584
2021-02-02,84400,130000,362500,38409,97623
2021-02-03,84600,130000,370500,38729,97672
2021-02-04,82500,125000,358000,38082,97680
2021-02-05,83500,127500,362500,38568,97672
2021-02-08,83000,125000,357500,38186,97680
2021-02-09,82700,125500,358500,38059,97711
2021-02-10,81600,126000,366500,38325,97676
2021-02-15,84200,132000,385500,38887,97638
2021-02-16,84900,132500,394000,39054,97638
2021-02-17,83200,130000,392000,38633,97676
2021-02-18,82100,126000,388000,38082,97711
2021-02-19,82600,133000,398000,38413,97693
2021-02-22,82200,136500,386500,38011,97601
2021-02-23,82000,138500,390500,37970,97605
2021-02-24,82000,136000,374000,37161,97680
2021-02-25,85300,148500,383000,38513,97680
2021-02-26,82500,141500,375000,37447,97518
2021-03-02,83600,144500,377500,37865,97539
2021-03-03,84000,147000,399500,38288,97594
2021-03-04,82400,142000,391500,37797,97579
2021-03-05,82100,140000,377500,37596,97566
2021-03-08,82000,135500,368500,37242,97422
2021-03-09,81400,136500,361500,37008,97150
2021-03-10,80900,133000,372000,36796,97172
2021-03-11,82000,137000,373500,37547,97297
2021-03-12,82800,140000,380500,37880,97193
2021-03-15,81800,136500,383000,37696,97177
2021-03-16,82800,140500,385500,38011,97297
2021-03-17,82300,140000,383500,37708,97268
2021-03-18,82900,142000,403500,37984,97305
2021-03-19,81900,138000,402000,37581,97310
2021-03-22,82000,138000,396500,37646,97380
2021-03-23,81800,135000,386000,37292,97440
2021-03-24,81000,133500,387000,37120,97479
2021-03-25,81200,133000,380000,37283,97527
2021-03-26,81500,135000,383000,37626,97522
2021-03-29,81600,132000,372000,37558,97483
2021-03-30,82200,134500,376500,37984,97389
2021-03-31,81400,132500,377000,37880,97417
2021-04-01,82900,140500,378500,38224,97461
2021-04-02,84800,141000,379500,38651,97457
2021-04-05,85400,143000,377000,38729,97341
2021-04-06,86000,143000,388500,38784,97350
2021-04-07,85600,143500,384500,38878,97389
2021-04-08,84700,144000,381500,38841,97493
2021-04-09,83600,140000,383500,38654,97444
2021-04-12,83200,137500,385500,38654,97506
2021-04-13,84000,139500,388500,39096,97518
2021-04-14,84000,137000,391500,39366,97623
2021-04-15,84100,137500,391000,39403,97547
2021-04-16,83900,137500,391500,39380,97527
2021-04-19,83300,138000,390000,39375,97596
2021-04-20,83900,138500,391000,39621,97589
2021-04-21,82600,132500,380500,38910,97628
2021-04-22,82400,133000,380500,38972,97668
2021-04-23,82800,132500,378000,38993,97623
2021-04-26,83500,131500,377500,39350,97527
2021-04-27,82900,135000,380000,39394,97571
2021-04-28,82100,130000,373500,38976,97601
2021-04-29,81700,130000,366500,38844,97594
2021-04-30,81500,128000,359500,38574,97514
2021-05-03,81700,131500,363000,38329,97510
2021-05-04,82600,132000,364500,38650,97518
